03-01,03-02,03-03,03-04,03-05,03-06,03-07
408,786,8829415,success,2025-03-14 04:01:36,deposit,True
372,723,9480220,failed,2025-03-11 17:01:36,transfer,True
449,533,4413029,pending,2025-04-30 00:01:36,deposit,False
565,185,7910525,success,2025-03-05 06:01:36,transfer,True
390,294,8967886,failed,2025-04-21 02:01:36,withdrawal,True
544,812,8167822,pending,2025-04-18 16:01:36,deposit,True
929,205,7942695,pending,2025-04-12 10:01:36,withdrawal,True
250,451,3271350,success,2025-03-24 12:01:36,deposit,False
579,159,4817901,success,2025-04-01 21:01:36,withdrawal,False
461,878,4989784,failed,2025-03-17 16:01:36,transfer,False
418,191,3075256,failed,2025-05-04 13:01:36,deposit,False
567,111,2174283,pending,2025-03-24 19:01:36,withdrawal,False
138,871,8186675,success,2025-04-16 00:01:36,deposit,True
158,456,6059694,pending,2025-04-14 20:01:36,deposit,True
29,949,5301329,failed,2025-04-08 03:01:36,transfer,True
58,470,9541354,pending,2025-04-04 13:01:36,transfer,True
14,196,2739940,success,2025-03-19 11:01:36,deposit,False
711,635,8142513,failed,2025-04-06 20:01:36,withdrawal,True
744,491,1452546,pending,2025-03-08 03:01:36,transfer,False
55,363,4040575,success,2025-03-22 01:01:36,withdrawal,False
803,992,2475267,success,2025-04-30 20:01:36,withdrawal,False
915,247,2832604,failed,2025-05-03 12:01:36,withdrawal,False
645,563,7391332,failed,2025-04-09 10:01:36,transfer,True
626,531,6085654,pending,2025-05-03 22:01:36,transfer,True
550,904,5874559,failed,2025-04-04 05:01:36,withdrawal,True
794,852,6275266,success,2025-04-06 17:01:36,deposit,True
977,606,6269308,failed,2025-04-10 13:01:36,withdrawal,True
506,671,9414811,failed,2025-05-02 04:01:36,withdrawal,True
400,58,2820280,failed,2025-05-02 08:01:36,withdrawal,False
327,908,7414609,failed,2025-04-12 01:01:36,transfer,True
110,374,5676224,failed,2025-03-26 09:01:36,deposit,True
694,917,1533885,failed,2025-04-06 11:01:36,withdrawal,False
890,979,5233293,pending,2025-03-27 17:01:36,transfer,True
587,726,6990461,success,2025-03-10 21:01:36,withdrawal,True
853,982,7785184,success,2025-03-12 15:01:36,transfer,True
815,967,8393545,pending,2025-03-23 17:01:36,deposit,True
888,153,7466590,pending,2025-03-27 15:01:36,transfer,True
85,940,1071269,failed,2025-03-31 08:01:36,deposit,False
940,140,1707802,success,2025-04-06 19:01:36,withdrawal,False
195,114,8083806,success,2025-03-23 18:01:36,deposit,True
132,423,1822125,success,2025-03-17 16:01:36,transfer,False
459,92,1016464,success,2025-04-17 23:01:36,withdrawal,False
36,102,4552912,success,2025-04-23 06:01:36,withdrawal,False
259,416,1754558,failed,2025-04-16 02:01:36,transfer,False
498,998,8175279,failed,2025-03-25 11:01:36,transfer,True
209,626,9405804,failed,2025-04-11 22:01:36,withdrawal,True
582,988,1966846,pending,2025-04-12 22:01:36,deposit,False
796,213,3765585,pending,2025-04-12 14:01:36,transfer,False
119,460,2144698,pending,2025-04-04 06:01:36,deposit,False
596,81,435403,success,2025-04-04 11:01:36,transfer,False
701,888,848590,pending,2025-05-02 14:01:36,withdrawal,False
551,335,8378987,success,2025-04-03 23:01:36,transfer,True
363,357,7155402,pending,2025-04-17 02:01:36,transfer,True
110,789,4539967,pending,2025-04-03 05:01:36,deposit,False
749,196,616146,failed,2025-04-23 10:01:36,deposit,False
606,433,7328107,success,2025-03-14 02:01:36,deposit,True
949,644,1587651,pending,2025-04-11 21:01:36,deposit,False
592,485,3345923,success,2025-04-09 17:01:36,deposit,False
270,927,1008576,success,2025-04-28 08:01:36,transfer,False
397,450,1781693,success,2025-04-10 10:01:36,transfer,False
867,710,9017032,pending,2025-03-06 19:01:36,withdrawal,True
23,692,4092781,success,2025-04-07 05:01:36,transfer,False
270,705,8341371,failed,2025-04-05 07:01:36,withdrawal,True
673,43,9041337,pending,2025-04-30 21:01:36,deposit,True
385,64,7709670,success,2025-04-27 07:01:36,transfer,True
476,680,1328662,pending,2025-05-02 20:01:36,transfer,False
258,749,6232760,failed,2025-04-01 05:01:36,withdrawal,True
988,480,2094833,failed,2025-03-19 04:01:36,transfer,False
95,758,6109375,success,2025-04-15 02:01:36,withdrawal,True
53,992,3873878,failed,2025-05-04 12:01:36,transfer,False
554,508,8595029,success,2025-03-20 01:01:36,transfer,True
271,938,947375,failed,2025-03-16 06:01:36,withdrawal,False
443,22,1107311,success,2025-03-24 07:01:36,withdrawal,False
847,647,9097122,success,2025-03-15 13:01:36,withdrawal,True
894,923,7622920,failed,2025-04-05 17:01:36,withdrawal,True
325,181,9002306,failed,2025-04-30 18:01:36,deposit,True
724,881,7825213,failed,2025-04-08 18:01:36,transfer,True
86,558,4044413,failed,2025-04-16 04:01:36,transfer,False
748,188,1343480,success,2025-03-09 01:01:36,deposit,False
36,504,5525628,pending,2025-04-22 21:01:36,transfer,True
708,714,1899842,success,2025-05-02 20:01:36,withdrawal,False
944,269,6406065,pending,2025-03-22 05:01:36,transfer,True
684,559,3146055,failed,2025-03-28 12:01:36,transfer,False
586,301,935822,failed,2025-04-06 00:01:36,transfer,False
499,923,3802495,failed,2025-04-21 07:01:36,transfer,False
873,763,3013763,success,2025-04-05 18:01:36,withdrawal,False
334,85,1900353,success,2025-03-06 11:01:36,deposit,False
740,753,6506802,success,2025-04-12 09:01:36,withdrawal,True
715,228,2520651,failed,2025-04-01 21:01:36,transfer,False
625,184,5617826,success,2025-03-20 04:01:36,transfer,True
365,767,7930682,pending,2025-03-31 17:01:36,transfer,True
525,995,3346520,success,2025-04-04 16:01:36,transfer,False
438,257,2119864,failed,2025-03-12 12:01:36,transfer,False
70,570,9517213,pending,2025-04-02 11:01:36,withdrawal,True
977,297,8707904,success,2025-03-10 16:01:36,transfer,True
876,740,9059136,success,2025-04-28 07:01:36,withdrawal,True
629,644,278399,failed,2025-03-24 00:01:36,deposit,False
735,694,1001873,failed,2025-04-18 17:01:36,deposit,False
686,929,2693837,pending,2025-04-21 09:01:36,transfer,False
466,431,9273749,pending,2025-04-11 23:01:36,deposit,True
923,50,371258,success,2025-04-25 16:01:36,withdrawal,False
272,993,5535395,pending,2025-03-25 00:01:36,withdrawal,True
432,662,4173508,success,2025-04-18 08:01:36,withdrawal,False
448,848,8572373,success,2025-04-05 02:01:36,withdrawal,True
187,743,5499640,pending,2025-05-02 23:01:36,withdrawal,True
717,999,1847746,success,2025-03-27 09:01:36,deposit,False
498,165,2969543,pending,2025-04-26 05:01:36,transfer,False
6,673,3320528,failed,2025-03-23 08:01:36,transfer,False
